# mode	input_family	system_kind	finding_id	expected_statuses	expected_failure_classes	note
non_atomic_inconsistent_bundle	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF	*	Hardening-only multi-member non-revert input; the current BAM node emits non-revert work as singleton batches, and current FireBAM no longer has the historical D-01 blanket rejection.
non_atomic_valid_multi_packet	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF	*	Hardening-only multi-member non-revert input; FireBAM reports every committed member while Jito's documented singleton-oriented feedback reports one result.
non_atomic_mid_overdraft	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF	*	Hardening-only multi-member non-revert execution; retain result-shape coverage without treating Jito's singleton-oriented feedback as a production divergence.
non_atomic_first_overdraft	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF,RIGHT_RESULT_EXECUTION_SEMANTICS_INVALID	*	Hardening-only multi-member non-revert execution outside the current BAM node producer invariant.
non_atomic_partial_overdraft	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF	*	Hardening-only multi-member non-revert execution outside the current BAM node producer invariant.
non_atomic_partial_overdraft_reconnect	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF	*	Hardening-only multi-member non-revert execution across reconnect, outside the current BAM node producer invariant.
non_atomic_partial_duplicate_sig	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF	*	Hardening-only multi-member non-revert duplicate-signature input outside the current BAM node producer invariant.
non_atomic_partial_cu_fail	*	*	NONREVERT-MULTI-OUT-OF-PROTOCOL	RESULT_DIFF	*	Hardening-only multi-member non-revert execution failure outside the current BAM node producer invariant.
non_atomic_partial_resolver_fail	*	*	D-20	LEFT_RESULT_INCOMPLETE	batch_results,batch_result_order,left_batch_result_completeness,left_terminal_result_integrity	The direct later-member ALUT failure plus pack slot-end result is the already reported D-20 duplicate-terminal root cause; this non-revert shape is hardening-only because production non-revert batches are singletons.
atomic_duplicate_sig_mid_fail	*	*	BAM-DUPSIG-ATTR	RESULT_DIFF	batch_results,batch_result_order	Firedancer reports an atomic duplicate-signature middle member as deserialization_error/SANITIZE_ERROR while Jito Agave reports transaction_error/ALREADY_PROCESSED at the same index; no state delta in this fixture.
atomic_duplicate_sig_mid_fail_reconnect	*	*	BAM-DUPSIG-ATTR	RESULT_DIFF	batch_results,batch_result_order	Firedancer preserves the atomic duplicate-signature result-attribution divergence across scheduler reconnect; fail if reconnect widens into missing results, state drift, tx-result mismatch, or signature evidence.
atomic_resolver_mid_fail	*	*	D-20	LEFT_RESULT_INCOMPLETE	batch_results,batch_result_order,left_batch_result_completeness,left_terminal_result_integrity	A later-member ALUT failure is published directly by resolv, then pack reports the still-incomplete prefix at slot end; this is the reported D-20 duplicate-terminal gap.
atomic_resolver_mid_fail_reconnect	*	*	D-20	LEFT_RESULT_INCOMPLETE	batch_results,batch_result_order,left_batch_result_completeness,left_terminal_result_integrity	The same direct-resolver plus later-pack duplicate survives scheduler reconnect and is the reported D-20 exactly-once gap, not a separate finding.
malformed_tail_atomic	*	*	D-20	LEFT_RESULT_INCOMPLETE	batch_results,batch_result_order,left_batch_result_completeness,left_terminal_result_integrity	A malformed later member is rejected directly, then pack reports the incomplete prefix at slot end; this is the reported D-20 duplicate-terminal gap.
malformed_tail_atomic_reconnect	*	*	D-20	LEFT_RESULT_INCOMPLETE	batch_results,batch_result_order,left_batch_result_completeness,left_terminal_result_integrity	The malformed later-member D-20 duplicate-terminal gap persists across scheduler reconnect.
bad_signature_tail_atomic	*	*	D-20	LEFT_RESULT_INCOMPLETE	batch_results,batch_result_order,left_batch_result_completeness,left_terminal_result_integrity	A bad-signature later member is rejected directly, then pack reports the incomplete prefix at slot end; this is the reported D-20 duplicate-terminal gap.
bad_signature_tail_atomic_reconnect	*	*	D-20	LEFT_RESULT_INCOMPLETE	batch_results,batch_result_order,left_batch_result_completeness,left_terminal_result_integrity	The bad-signature later-member D-20 duplicate-terminal gap persists across scheduler reconnect.
queue_burst64_reconnect	*	*	M-32	RESULT_DIFF,LEFT_RESULT_INCOMPLETE,RIGHT_RESULT_INCOMPLETE,BLOCK_SIGNATURE_DIFF,BLOCK_SIGNATURE_ORDER_DIFF,STATE_DIFF	*	Unbounded max_schedule_slot burst can diverge at leader-slot boundary; retained as coverage for the reported ULONG_MAX slot-bound finding.
queue_burst64_leader_plus1_reconnect	*	*	SLOT-TIMING	RESULT_DIFF,BLOCK_SIGNATURE_DIFF,BLOCK_SIGNATURE_ORDER_DIFF,STATE_DIFF,LEFT_SCHEDULE_BOUNDARY_INVALID,RIGHT_SCHEDULE_BOUNDARY_INVALID	*	Bounded leader+1 burst is timing-sensitive under late-drain pressure; retained as slot-edge coverage, not as a validated M-03 production finding.
queue_burst64_leader_reconnect	*	*	SLOT-TIMING	RESULT_DIFF,BLOCK_SIGNATURE_DIFF,BLOCK_SIGNATURE_ORDER_DIFF,STATE_DIFF,LEFT_SCHEDULE_BOUNDARY_INVALID,RIGHT_SCHEDULE_BOUNDARY_INVALID	*	Bounded current-leader burst is timing-sensitive under late-drain pressure; retained as slot-edge coverage, not as a validated M-03 production finding.
schedule_boundary_jitter	*	*	SLOT-TIMING	RESULT_DIFF,BLOCK_SIGNATURE_DIFF,BLOCK_SIGNATURE_ORDER_DIFF,STATE_DIFF,LEFT_SCHEDULE_BOUNDARY_INVALID,RIGHT_SCHEDULE_BOUNDARY_INVALID	*	Seeded bounded slot-edge bursts are timing-sensitive; retained as schedule-boundary oracle coverage.
queue_reconnect_timing_jitter	*	*	M-32	RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	Reconnect timing jitter can expose the same Jito target terminal-result incompleteness as queue-pressure modes; fail on any source, state, signature, or extra result class.
queue_burst128_reconnect	*	*	M-32	RESULT_DIFF,LEFT_RESULT_INCOMPLETE,RIGHT_RESULT_INCOMPLETE,BLOCK_SIGNATURE_DIFF,BLOCK_SIGNATURE_ORDER_DIFF,STATE_DIFF	*	Unbounded max_schedule_slot burst can diverge or lose terminal target results under leader-slot pressure; retained as coverage for the reported ULONG_MAX/backpressure family.
partial_drain_reconnect	*	*	M-32	RESULT_DIFF,RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	Partial-drain reconnect under queue pressure can leave the target replay one terminal result short while source state and terminal-result checks pass; fail on any extra source, signature, or state divergence.
queue_burst_multi_reconnect	*	*	M-32	RESULT_DIFF,RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	Multi-reconnect queue pressure can leave the Jito target replay with tail OUTSIDE_LEADER_SLOT or incomplete terminal results while fddev/fullfd source terminal-result and state checks pass; fail on any extra source, signature, or state divergence.
queue_burst256_reconnect	*	*	M-32	RESULT_DIFF,LEFT_RESULT_INCOMPLETE,RIGHT_RESULT_INCOMPLETE,BLOCK_SIGNATURE_DIFF,BLOCK_SIGNATURE_ORDER_DIFF,STATE_DIFF	*	Higher-pressure unbounded max_schedule_slot burst can lose terminal target results under reconnect/backpressure; retained as coverage for the reported ULONG_MAX/backpressure family.
queue_burst512_reconnect	*	*	M-32	RESULT_DIFF,LEFT_RESULT_INCOMPLETE,RIGHT_RESULT_INCOMPLETE,BLOCK_SIGNATURE_DIFF,BLOCK_SIGNATURE_ORDER_DIFF,STATE_DIFF	*	Highest local unbounded max_schedule_slot burst can lose terminal target results under reconnect/backpressure; retained as coverage for the reported ULONG_MAX/backpressure family.
bam_fee_queue_burst_reconnect	*	*	M-32	RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	BAM fee queue-pressure target replay can miss the final terminal result while source fee/state/source-suppression checks still pass; retained as coverage for the reported result-completeness/backpressure family.
bam_fee_source_mix_queue_burst_reconnect	*	*	M-32	RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	BAM fee plus TPU-source queue-pressure target replay can miss the final terminal result while source fee/state/source-suppression checks still pass; fail on any extra fee/source/state class.
bam_fee_config_refresh_queue_burst	*	*	M-32	RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	BAM fee config refresh under queue pressure can leave the target replay one terminal result short; fail on any extra fee snapshot, source, or state divergence.
bam_fee_config_refresh_source_mix_queue_burst	*	*	M-32	RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	BAM fee config refresh plus TPU-source queue pressure can leave the target replay one terminal result short; fail on any extra fee snapshot, source, or state divergence.
bam_fee_config_midqueue_refresh	*	*	M-32	RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	Mid-queue BAM fee config refresh can expose the same target terminal-result incompleteness; fail on any extra fee snapshot, source, or state divergence.
bam_fee_config_midqueue_source_mix_queue_burst	*	*	M-32	RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	Mid-queue BAM fee config refresh with TPU-source traffic can expose the same target terminal-result incompleteness; fail on any extra fee snapshot, source, or state divergence.
bam_fee_config_midqueue_source_mix_multi_reconnect	*	*	M-32	RESULT_DIFF,RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	Mid-queue BAM fee config refresh plus TPU-source multi-reconnect pressure can miss terminal target results or return tail OUTSIDE_LEADER_SLOT while fee/source/state checks still pass; fail on any extra fee snapshot, source, state, signature, or normal-TPU class.
source_mix_queue_burst_reconnect	*	*	M-32	RESULT_DIFF,RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	TPU-source queue-pressure target replay can miss terminal results or return tail OUTSIDE_LEADER_SLOT results while source-suppression/state checks still pass; fail on any extra source or state divergence.
source_mix_queue_burst_multi_reconnect	*	*	M-32	RESULT_DIFF,RIGHT_RESULT_INCOMPLETE	batch_results,batch_result_order,batch_result_txs,right_batch_result_completeness	Multi-reconnect TPU-source queue pressure can miss terminal target results or return tail OUTSIDE_LEADER_SLOT while source-suppression/state checks still pass; fail on any extra source, state, signature, or normal-TPU class.
duplicate_seq_split	*	*	M-42-ATTR	RIGHT_RESULT_IDENTITY_INVALID,RESULT_ORDER_DIFF,TX_RESULT_DIFF	batch_result_order,batch_result_txs,right_result_identity_integrity	Duplicate seq_id split differs by terminal-result identity/order under the repeated seq_id; fail if state, signature, or terminal-result-set checks also diverge.
mixed_multi_batch	*	*	RESULT-ORDER	RESULT_ORDER_DIFF	batch_result_order	Mixed valid/replay multi-batch currently differs only by terminal-result arrival order; fail if any state, signature, or terminal-result-set check also diverges.
mixed_bad_signature_multi_batch	*	*	RESULT-ORDER	RESULT_ORDER_DIFF	batch_result_order	Full Firedancer can report valid/bad-signature/valid terminal results in scheduler order while Jito reports the verify-origin rejection first; retained as order-only protocol coverage.
mixed_bad_signature_reconnect	*	*	RESULT-ORDER	RESULT_ORDER_DIFF	batch_result_order	Full Firedancer preserves the bad-signature mixed-batch order-only difference across an immediate scheduler reconnect; fail if any state, signature, terminal-result-set, or completeness check also diverges.
mixed_terminal_producers_reconnect	*	*	RESULT-ORDER	RESULT_ORDER_DIFF	batch_result_order	Mixed valid/malformed/stale/bad-signature/valid reconnect coverage can differ only by arrival order between pack, verify, and execution result producers; fail if attribution, completeness, state, signature, or terminal-result-set checks diverge.
random_mixed_multi_batch	*	*	RESULT-ORDER	RESULT_ORDER_DIFF	batch_result_order	Random mixed multi-batch currently differs only by terminal-result arrival order; fail if any state, signature, or terminal-result-set check also diverges.
